person_id,screening_date,first_offense_date,current_offense_date,p_current_age,p_age_first_offense,p_juv_fel_count,p_felprop_violarrest,p_murder_arrest,p_felassault_arrest,p_misdemassault_arrest,p_famviol_arrest,p_sex_arrest,p_weapons_arrest,Risk of Failure to Appear_decile_score,Risk of Failure to Appear_raw_score,Risk of Recidivism_decile_score,Risk of Recidivism_raw_score,Risk of Violence_decile_score,Risk of Violence_raw_score
1,2013-08-14,2013-08-13,2013-08-13,66,66,0,0,0,0,0,0,0,0,1,13,1,-2.78,1,-4.31
2,2014-12-31,NA,NA,29,NA,0,0,0,0,0,0,0,0,2,16,5,-0.34,2,-2.75
3,2013-01-27,2013-01-26,2013-01-26,31,31,0,0,0,0,0,0,0,0,6,25,3,-0.76,1,-3.07
4,2013-04-14,2011-12-28,2013-04-13,21,20,0,1,0,0,0,0,0,0,7,26,4,-0.66,3,-2.26
5,2013-01-13,2007-05-16,2013-01-12,19,14,0,0,0,0,0,0,0,0,3,19,8,0.16,6,-1.59
6,2013-03-26,2009-08-12,NA,40,36,0,0,0,0,0,0,0,0,1,12,1,-2.2,1,-3.23
7,2013-11-30,2013-11-30,2013-11-30,42,42,0,0,0,0,0,0,0,0,3,19,1,-1.93,1,-3.3
8,2014-02-19,1993-08-01,2014-02-18,39,19,0,5,0,0,1,0,0,3,8,30,6,-0.16,2,-2.89
9,2013-08-30,2002-10-27,2013-08-23,40,29,0,0,0,1,1,0,0,0,3,20,4,-0.72,3,-2.44
10,2014-03-16,2014-03-15,2014-03-15,37,37,0,0,0,0,0,0,0,0,1,13,1,-1.73,1,-3.37
11,2013-12-09,2013-12-08,2013-12-08,18,18,0,0,0,0,0,0,0,0,2,17,10,0.82,9,-0.83
12,2014-09-05,2014-09-04,2014-09-04,25,25,0,0,0,0,0,0,0,0,1,11,5,-0.72,3,-2.42
13,2013-11-04,2012-12-31,NA,19,18,0,0,0,0,0,0,0,0,4,21,3,-0.79,5,-1.84
14,2013-11-26,2013-11-25,2013-11-25,25,25,0,0,0,0,0,0,0,0,1,15,4,-0.69,4,-2.12
15,2013-10-03,2011-06-03,2013-10-03,21,18,0,0,0,0,0,0,0,0,5,23,6,-0.3,4,-2.06
16,2013-01-01,2013-01-01,2013-01-01,34,34,0,0,0,0,0,0,0,0,1,13,1,-1.67,1,-3.14
17,2014-07-31,2014-07-31,2014-07-31,20,20,0,0,0,0,0,0,0,0,1,11,3,-0.98,5,-1.92
18,2013-10-09,2013-10-08,2013-10-08,38,38,0,0,0,0,0,0,0,0,2,17,4,-0.73,2,-2.85
19,2013-10-30,2012-01-05,NA,45,43,0,0,0,0,0,0,0,0,5,22,1,-1.82,1,-3.61
20,2014-06-03,2008-01-06,NA,29,22,0,0,0,0,0,0,0,0,3,19,3,-0.96,2,-2.82
21,2014-03-24,2014-03-24,2014-03-24,35,35,0,0,0,0,0,0,0,0,1,12,1,-2,1,-3.43
22,2013-12-22,2008-09-06,2013-12-21,23,18,0,1,0,0,1,0,0,0,3,18,10,0.89,9,-0.84
23,2013-11-17,2003-05-11,2013-11-16,28,18,0,0,0,0,0,0,0,1,3,18,5,-0.4,4,-2.22
24,2014-11-15,2006-05-06,2014-11-14,29,21,0,0,0,0,0,0,0,0,1,12,3,-0.87,2,-2.7
25,2014-05-02,1979-11-15,NA,62,28,0,0,0,0,0,0,0,0,7,27,6,-0.15,3,-2.3
26,2013-04-18,2013-03-24,2013-04-17,18,18,0,0,0,0,1,0,0,0,6,25,9,0.5,9,-0.63
27,2014-10-16,2014-10-16,2014-10-16,26,26,0,0,0,0,0,0,0,0,1,15,2,-1.14,3,-2.55
28,2013-11-22,2013-11-20,2013-11-20,18,18,0,0,0,0,0,0,0,0,1,11,4,-0.92,5,-1.88
29,2014-10-16,2009-12-07,2014-10-16,23,18,0,0,0,0,0,0,0,0,4,21,-1,-1,6,-1.56
30,2013-02-08,2012-12-01,2013-02-07,21,20,0,0,0,0,0,0,0,0,1,12,4,-0.71,5,-1.8
31,2014-12-03,2014-07-23,NA,41,41,0,0,0,0,0,0,0,0,3,19,3,-0.8,1,-3.18
32,2013-01-25,2005-10-14,2013-01-24,40,32,0,0,0,0,1,0,0,0,2,17,1,-1.68,2,-2.92
33,2013-05-11,2013-05-10,2013-05-10,29,29,0,0,0,0,0,0,0,0,2,17,3,-0.83,4,-2.2
34,2013-05-24,2013-05-23,2013-05-23,51,51,0,0,0,0,0,0,0,0,9,29,9,0.39,5,-1.89
35,2014-08-21,1993-01-03,NA,42,20,0,0,0,0,0,0,0,0,3,18,6,-0.25,4,-2.21
35,2014-08-25,1993-01-03,NA,42,20,0,0,0,0,0,0,0,0,3,18,6,-0.25,4,-2.21
36,2013-03-04,NA,NA,46,NA,0,0,0,0,0,0,0,0,2,17,1,-1.99,1,-3.61
37,2013-05-06,2008-05-27,2013-05-05,24,19,0,1,0,1,0,0,0,0,1,12,3,-0.93,3,-2.55
38,2013-03-18,2012-02-08,NA,33,32,0,0,0,0,0,0,0,0,6,23,3,-1.23,1,-3.11
39,2013-02-20,2007-12-15,2013-02-19,23,18,0,1,0,0,0,0,0,0,1,15,7,0.07,7,-1.27
40,2014-10-24,2014-10-23,2014-10-23,31,31,0,0,0,0,0,0,0,0,7,26,10,0.82,6,-1.67
41,2013-01-28,2004-11-27,2013-01-28,27,19,0,0,0,2,5,0,0,1,8,28,9,0.55,10,-0.43
42,2014-11-15,2009-08-31,2014-11-14,30,25,0,0,0,0,0,0,0,0,3,20,8,0.25,3,-2.3
43,2014-12-07,2014-12-06,2014-12-06,62,62,0,0,0,0,0,0,0,0,1,15,1,-2.74,1,-4.33
44,2014-11-21,2010-06-25,2014-11-20,25,21,0,0,0,0,0,0,0,0,1,12,3,-0.88,3,-2.54
45,2013-12-30,2013-12-28,2013-12-28,53,53,0,0,0,0,0,0,0,0,1,11,1,-2.56,1,-4.21
46,2013-02-26,NA,NA,26,NA,0,0,0,0,0,0,0,0,2,16,8,0.21,6,-1.73
47,2013-09-16,2005-04-02,2013-09-16,30,21,0,2,0,1,1,0,0,0,10,40,10,0.7,8,-1.1
48,2014-01-11,1995-09-04,2014-01-10,36,18,0,1,0,0,0,0,0,0,2,17,3,-0.81,4,-2.19
49,2013-01-20,1987-04-04,2013-01-19,50,24,0,0,0,1,5,0,0,0,8,29,5,-0.46,2,-2.59
50,2013-04-04,1996-03-25,2013-04-04,46,29,0,0,0,0,0,0,0,2,3,20,3,-0.82,2,-2.81
51,2013-04-09,2006-09-14,NA,23,16,0,0,0,0,0,0,0,0,2,16,8,0.1,8,-1.18
51,2013-08-07,2006-09-14,NA,23,16,0,0,0,0,0,0,0,0,1,16,8,0.3,8,-1.02
51,2014-10-28,2006-09-14,NA,24,16,0,0,0,0,0,0,0,0,2,16,8,0.09,8,-1.16
52,2013-12-03,2006-03-03,2013-12-02,30,23,0,0,0,0,0,0,0,0,2,16,5,-0.73,2,-2.67
53,2013-09-15,2011-07-22,2013-09-15,22,20,0,0,0,0,0,0,0,0,1,15,2,-1.23,3,-2.49
54,2013-01-11,1997-02-03,2013-01-11,31,15,2,1,0,0,0,0,0,1,6,25,9,0.32,6,-1.55
55,2013-01-16,2013-01-15,2013-01-15,25,25,0,0,0,0,0,0,0,0,1,14,2,-1.08,2,-2.62
56,2013-08-24,2012-11-05,NA,19,18,0,0,0,0,0,0,0,0,4,20,8,0.03,8,-1.16
57,2013-02-28,2003-01-26,2013-02-27,48,38,0,0,0,0,0,0,0,0,1,15,1,-1.77,1,-3.6
58,2013-04-15,NA,NA,33,NA,0,0,0,0,0,0,0,0,1,11,1,-1.97,1,-3.41
59,2014-04-06,2010-05-12,2014-04-05,27,23,0,0,0,1,0,0,0,0,3,18,2,-1.33,2,-2.78
60,2013-08-23,2013-08-22,2013-08-22,22,22,0,0,0,0,0,0,0,0,1,13,6,-0.25,7,-1.35
61,2013-02-14,1988-08-07,2013-02-13,48,23,0,0,0,1,0,0,0,0,2,16,2,-1.32,2,-2.82
62,2014-09-14,2007-11-01,2014-09-14,26,19,0,3,0,0,0,0,0,0,2,17,7,-0.01,4,-1.98
63,2014-08-13,1998-04-25,2014-08-12,34,18,0,0,0,0,0,0,0,0,10,37,9,0.58,10,-0.31
64,2014-03-03,2014-03-03,2014-03-03,27,27,0,0,0,0,0,0,0,0,3,19,7,-0.06,2,-2.8
