"","person_id","p_age","cq_fail_appear_two_yr","cq_fail_appear_two_plus","p_yrs5_felcount_person","p_misdem_count_5yrs","p_violence_raw","p_drug_count_5yrs","p_yrs5_trafcount_person","p_prison_visits","p_jail_visits","cq_prior_conviction_F","cq_prior_conviction_M","corrected_age"
"1",1,69,0,0,0,0,-4.31,0,4,0,2,0,0,-4.50249361317894
"2",4,24,2,0,3,5,-2.26,2,6,0,5,0,1,-2.56111215937688
"3",5,23,0,0,0,0,-1.59,0,1,0,0,0,NA,-2.4267335967161
"4",8,41,0,0,4,3,-2.89,1,1,2,2,10,2,-3.74202860324325
"5",9,43,6,0,0,2,-2.44,0,9,0,3,1,2,-3.81192139521026
"6",11,20,0,0,0,0,-0.83,0,1,1,2,0,0,-1.95075017065288
"7",14,27,0,0,0,0,-2.12,0,2,0,1,0,0,-2.90268300233775
"8",15,23,0,0,0,5,-2.06,0,1,0,1,0,1,-2.4267335967161
"9",16,37,0,0,0,0,-3.14,0,1,0,1,0,0,-3.58126107220255
"10",17,22,0,0,0,0,-1.92,0,1,0,1,0,0,-2.28077526649795
"11",21,37,NA,NA,0,0,-3.43,0,0,0,1,0,0,-3.58126107220255
"12",22,25,0,0,0,2,-0.84,1,0,0,2,1,2,-2.68471687541311
"13",23,31,0,0,0,0,-2.22,0,0,0,1,2,6,-3.24156064981629
"14",24,31,2,0,0,3,-2.7,0,4,0,3,0,4,-3.24156064981629
"15",26,21,0,0,0,2,-0.63,0,0,0,6,0,1,-2.12240215798853
"16",27,27,0,0,0,0,-2.55,0,3,0,1,0,0,-2.90268300233775
"17",29,24,NA,NA,0,3,-1.56,0,1,1,6,0,2,-2.56111215937688
"18",30,24,0,0,1,0,-1.8,0,0,0,1,3,0,-2.56111215937688
"19",32,43,0,0,0,0,-2.92,0,8,0,1,1,1,-3.81192139521026
"20",34,54,0,0,0,0,-1.89,0,2,7,1,0,0,-4.15917570494393
"21",35,44,0,0,0,0,-2.21,0,4,1,1,5,7,-3.84525856717818
"22",35,44,0,0,0,0,-2.21,0,4,1,1,5,7,-3.84525856717818
"23",37,27,2,0,3,9,-2.55,1,25,0,6,NA,NA,-2.90268300233775
"24",39,26,0,0,1,5,-1.27,5,3,0,3,2,5,-2.79832457595651
"25",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"26",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"27",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"28",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"29",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"30",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"31",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"32",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"33",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"34",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"35",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"36",41,30,0,0,3,7,-0.43,NA,1,0,2,3,NA,-3.16730370279879
"37",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"38",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"39",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"40",41,30,0,0,3,7,-0.21,NA,1,0,2,3,NA,-3.16730370279879
"41",42,32,0,0,4,1,-2.3,4,9,0,2,4,2,-3.3098706823087
"42",44,27,0,1,0,2,-2.54,0,11,0,1,0,2,-2.90268300233775
"43",47,32,0,0,1,9,-1.1,0,0,1,1,4,11,-3.3098706823087
"44",48,38,0,0,1,1,-2.19,0,0,2,4,2,2,-3.62490872751422
"45",49,53,0,0,3,3,-2.59,0,1,6,2,17,18,-4.12819559110034
"46",50,49,0,0,1,1,-2.81,0,3,0,3,1,6,-4.00394448927813
"47",52,33,0,0,0,4,-2.67,0,2,0,4,0,7,-3.37280700280018
"48",53,24,0,0,0,1,-2.49,0,2,0,2,0,0,-2.56111215937688
"49",54,34,0,0,8,12,-1.55,7,18,2,4,NA,NA,-3.43091372401383
"50",57,51,0,0,0,6,-3.6,0,0,0,1,0,6,-4.06610443758341
"51",59,29,0,0,1,2,-2.78,0,12,0,2,0,1,-3.08649754893093
"52",60,25,0,0,0,0,-1.35,0,4,0,2,0,0,-2.68471687541311
"53",61,51,0,0,0,0,-2.82,0,0,0,2,2,3,-4.06610443758341
"54",62,28,0,0,0,5,-1.98,2,8,1,1,10,6,-2.99851080608639
"55",63,36,0,0,2,5,-0.31,2,2,2,3,8,19,-3.53466937049462
"56",64,29,0,0,1,0,-2.8,0,0,0,3,0,0,-3.08649754893093
"57",66,25,0,0,2,6,-0.77,0,1,3,3,3,5,-2.68471687541311
"58",67,35,NA,NA,0,8,-2.54,0,2,0,2,4,14,-3.48470586887167
"59",70,29,0,0,0,0,-2.41,0,2,0,1,0,0,-3.08649754893093
"60",71,29,0,0,0,0,-2.86,0,5,0,2,0,0,-3.08649754893093
"61",74,25,0,0,0,0,-2.35,0,1,0,1,0,0,-2.68471687541311
"62",76,33,1,0,0,3,-0.45,0,0,1,3,0,3,-3.37280700280018
"63",78,30,0,0,1,0,-2.21,0,3,0,1,1,0,-3.16730370279879
"64",79,31,0,0,4,9,-1.45,5,7,0,1,5,14,-3.24156064981629
"65",80,24,0,0,1,3,-2.04,3,1,0,3,0,1,-2.56111215937688
"66",82,32,0,0,0,2,-2.71,0,0,0,2,0,NA,-3.3098706823087
"67",83,30,0,0,0,0,-2.36,0,0,0,1,0,0,-3.16730370279879
"68",84,49,0,0,0,2,-3.38,0,4,0,1,0,2,-4.00394448927813
"69",86,31,0,0,0,0,-3.18,0,6,0,1,0,0,-3.24156064981629
"70",87,35,0,0,0,5,-2.94,0,8,0,1,0,4,-3.48470586887167
"71",89,33,0,0,0,1,-3.25,0,11,0,1,0,4,-3.37280700280018
"72",90,27,1,1,5,12,-0.9,5,3,0,5,3,9,-2.90268300233775
"73",91,38,0,0,0,5,-2.7,2,6,0,1,0,2,-3.62490872751422
"74",92,46,0,0,0,0,-2.41,0,1,8,2,9,3,-3.90983508763893
"75",93,22,0,0,0,3,-1.61,1,6,0,1,0,3,-2.28077526649795
"76",94,34,0,0,0,0,-3.31,0,4,0,1,0,0,-3.43091372401383
"77",96,29,0,0,4,4,-1.8,0,4,1,4,2,7,-3.08649754893093
"78",96,29,0,0,4,4,-1.55,0,4,1,4,2,7,-3.08649754893093
"79",98,27,2,0,1,4,-2.32,2,6,0,3,0,8,-2.90268300233775
"80",98,27,2,0,1,4,-2.04,2,6,0,3,0,8,-2.90268300233775
"81",99,33,0,0,0,0,-3.24,0,3,0,1,0,0,-3.37280700280018
"82",101,45,1,0,3,2,-3.55,1,1,4,3,6,6,-3.87783145295103
"83",101,45,1,0,3,2,-3.62,1,1,4,3,6,6,-3.87783145295103
"84",102,22,0,0,0,1,-1.59,1,1,0,1,0,1,-2.28077526649795
"85",103,31,0,0,0,3,-2.62,0,8,0,1,0,2,-3.24156064981629
"86",106,24,0,0,2,1,-2.03,0,10,0,1,1,2,-2.56111215937688
"87",107,29,3,0,1,9,-2.36,1,25,0,5,0,3,-3.08649754893093
"88",107,29,3,0,1,9,-2.48,1,25,0,5,0,3,-3.08649754893093
"89",113,22,3,0,0,2,-2.38,0,1,0,3,0,0,-2.28077526649795
"90",115,26,0,0,0,1,-2.32,0,2,0,4,0,1,-2.79832457595651
"91",119,32,0,0,0,0,-3.05,0,3,0,1,0,0,-3.3098706823087
"92",121,50,0,0,0,0,-4.05,0,3,0,1,0,0,-4.03503967470601
"93",122,30,0,0,2,4,-0.74,2,5,1,3,2,5,-3.16730370279879
"94",122,30,0,0,2,4,-0.56,2,5,1,3,2,5,-3.16730370279879
"95",124,52,0,0,2,4,-3.24,1,4,0,1,2,3,-4.097159274214
"96",126,22,0,0,0,3,-1.78,0,0,0,2,0,1,-2.28077526649795
"97",127,50,0,0,0,0,-2.84,0,6,0,2,0,0,-4.03503967470601
"98",130,20,0,0,0,0,-1.21,0,1,0,3,0,0,-1.95075017065288
"99",131,22,0,0,3,1,-0.57,0,0,0,4,2,0,-2.28077526649795
"100",137,36,0,0,2,1,-1.54,2,4,1,3,5,7,-3.53466937049462
"101",138,26,0,0,0,11,-2.15,2,20,0,3,0,6,-2.79832457595651
"102",139,21,0,0,0,1,-1.5,0,0,0,5,0,1,-2.12240215798853
"103",141,30,0,0,2,4,-1.98,2,5,0,1,2,6,-3.16730370279879
"104",142,25,2,0,0,10,-0.91,4,6,0,4,1,12,-2.68471687541311
"105",144,34,0,0,1,4,-2.89,0,7,0,1,1,4,-3.43091372401383
"106",146,39,0,0,0,2,-3.23,0,13,0,8,0,0,-3.66601100014733
"107",150,44,0,0,0,0,-3.71,0,2,0,1,0,0,-3.84525856717818
"108",153,30,0,0,0,0,-2.64,0,0,0,1,0,0,-3.16730370279879
"109",155,32,0,1,1,5,-3.03,0,9,0,2,0,5,-3.3098706823087
"110",156,24,0,0,8,6,-1.52,4,20,2,5,10,4,-2.56111215937688
"111",157,30,0,0,0,0,-2.58,0,1,0,3,0,0,-3.16730370279879
"112",159,39,0,0,1,1,-2.28,0,0,1,4,1,0,-3.66601100014733
"113",161,35,0,0,0,7,-2.4,0,7,0,2,0,6,-3.48470586887167
"114",163,43,0,0,0,0,-3.34,0,1,0,1,0,0,-3.81192139521026
"115",164,21,0,0,1,1,-1.68,1,2,0,8,1,1,-2.12240215798853
"116",166,21,0,0,6,2,-1.56,0,0,1,5,4,1,-2.12240215798853
"117",166,21,0,0,6,2,-1.03,0,0,1,5,4,1,-2.12240215798853
"118",169,38,0,0,6,3,-2.4,9,6,0,2,NA,2,-3.62490872751422
"119",170,27,0,0,0,2,-2.06,1,0,2,2,2,2,-2.90268300233775
"120",172,30,0,0,0,1,-2.31,0,15,0,1,1,0,-3.16730370279879
"121",173,33,0,0,0,2,-2.63,0,2,0,1,0,6,-3.37280700280018
"122",174,37,1,0,0,3,-3.3,0,3,0,3,0,1,-3.58126107220255
"123",175,42,0,0,1,1,-2.85,0,0,0,3,0,0,-3.77759581213605
"124",175,42,0,0,1,1,-2.7,0,0,0,3,0,0,-3.77759581213605
"125",176,41,0,0,3,2,-1.36,2,0,4,2,9,NA,-3.74202860324325
"126",177,22,0,0,0,3,-1.49,0,0,0,2,0,0,-2.28077526649795
"127",178,33,0,0,7,8,-1.88,5,5,5,3,NA,NA,-3.37280700280018
"128",179,44,0,0,0,0,-3.43,0,1,0,1,0,0,-3.84525856717818
"129",180,31,0,0,0,0,-1.2,0,0,0,1,0,1,-3.24156064981629
"130",181,26,0,0,6,7,-1.32,2,1,1,1,5,7,-2.79832457595651
"131",182,30,0,0,0,1,-2.85,0,17,0,3,0,1,-3.16730370279879
"132",183,31,1,0,5,7,-1.45,2,2,1,3,8,11,-3.24156064981629
"133",184,27,0,0,4,2,-2.12,6,0,1,2,3,1,-2.90268300233775
"134",185,31,0,0,0,1,-2.77,0,7,0,2,0,0,-3.24156064981629
"135",186,47,0,0,0,1,-3.38,0,2,0,1,0,1,-3.94143541655095
"136",189,52,0,0,0,1,-1.73,0,2,0,1,0,2,-4.097159274214
"137",190,33,2,0,3,6,-1.44,0,18,1,2,6,NA,-3.37280700280018
"138",194,42,1,0,0,2,-3.39,0,4,0,3,5,4,-3.77759581213605
"139",197,30,0,0,0,0,-2.7,0,5,0,1,0,0,-3.16730370279879
"140",201,21,0,0,0,1,-1.67,1,0,0,1,0,1,-2.12240215798853
"141",203,24,0,0,0,0,-2.49,0,4,0,1,0,0,-2.56111215937688
"142",204,37,0,0,0,2,-1.49,0,0,0,3,1,7,-3.58126107220255
"143",206,29,1,0,1,8,-2.66,2,6,0,5,1,5,-3.08649754893093
"144",208,44,0,0,0,0,-2.95,0,0,0,1,1,1,-3.84525856717818
"145",210,32,0,0,2,4,-2.51,1,0,1,2,1,0,-3.3098706823087
"146",211,53,0,0,0,0,-3.51,0,0,0,1,0,1,-4.12819559110034
"147",212,34,0,0,0,1,-3.32,0,1,0,1,0,0,-3.43091372401383
"148",213,31,0,0,0,2,-2.54,0,0,0,1,0,1,-3.24156064981629
